,age,default,balance,housing,loan,duration,campaign,pdays,previous,y,date,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_divorced,marital_married,marital_single,education_primary,education_secondary,education_tertiary,education_unknown,contact_cellular,contact_telephone,contact_unknown,poutcome_failure,poutcome_other,poutcome_success,poutcome_unknown
0,1,0,0,0,0,0.024826216484607744,0.0,0.0,0,0,74,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
1,1,0,1,1,1,0.07149950347567031,0.0,0.38990825688073394,4,0,235,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
2,1,0,0,1,0,0.05991393578285336,0.0,0.3795871559633027,1,0,260,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
3,1,0,0,1,1,0.06454816285998013,0.061224489795918366,0.0,0,0,212,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
4,4,0,0,1,0,0.07348560079443893,0.0,0.0,0,0,241,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
5,1,0,0,0,0,0.04534922211188348,0.02040816326530612,0.2029816513761468,3,0,312,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
6,2,0,0,1,0,0.11155246607083748,0.0,0.3795871559633027,2,0,232,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
7,2,0,0,1,0,0.04865938430983118,0.02040816326530612,0.0,0,0,240,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
8,2,0,0,1,0,0.017543859649122806,0.02040816326530612,0.0,0,0,232,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
9,2,0,0,1,1,0.10228401191658391,0.0,0.16972477064220184,2,0,259,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
10,2,0,1,1,0,0.08904336312479312,0.0,0.0,0,0,226,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
11,2,0,0,1,0,0.036080767957629926,0.02040816326530612,0.0,0,0,259,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
12,2,0,0,0,0,0.10724925521350546,0.02040816326530612,0.0,0,0,141,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
13,0,0,0,0,0,0.08507116848725588,0.0,0.0,0,1,246,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
14,1,0,0,1,1,0.028136378682555446,0.0,0.2775229357798165,1,0,337,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
15,2,0,0,0,1,0.06123800066203244,0.02040816326530612,0.0,0,0,125,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
16,4,0,0,0,0,0.07778881165177094,0.08163265306122448,0.0,0,0,127,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
17,2,0,0,1,0,0.036411784177424696,0.0,0.17545871559633028,2,0,256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
18,0,0,0,1,0,0.0814299900695134,0.0,0.0,0,0,223,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
19,1,0,0,0,0,0.047666335650446874,0.0,0.17545871559633028,1,0,178,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
20,2,0,0,1,0,0.030453492221118834,0.02040816326530612,0.0,0,0,44,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
21,2,0,0,0,0,0.045018205892088714,0.04081632653061224,0.0,0,0,43,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
22,2,0,0,0,0,0.03475670307845084,0.02040816326530612,0.0,0,0,203,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
23,2,0,0,0,0,0.04005296259516716,0.02040816326530612,0.0,0,0,178,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
24,1,0,0,0,0,0.05461767626613704,0.04081632653061224,0.0,0,0,336,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
