MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
60,1,65.0,8450,1,1,3,3,0,2,2,9,7,6,3,0,7,5,2003,2003,4,0,5,7,1,196.0,0,2,4,0,2,3,4,706,5,0,150,856,4,4,1,0,856,854,0,1710,1,0,2,1,3,1,0,8,0,0,5,0,2003.0,3,2,548,2,2,2,0,61,0,0,0,0,3,4,4,0,2,2008,4,1,208500
20,1,80.0,9600,1,1,3,3,0,0,2,18,6,6,3,4,6,8,1976,1976,4,0,1,2,3,0.0,1,2,5,0,2,2,0,978,5,0,284,1262,4,4,1,0,1262,0,0,1262,0,1,2,0,3,1,1,6,0,1,2,0,1976.0,3,2,460,2,2,2,298,0,0,0,0,0,3,4,4,0,5,2007,4,1,181500
60,1,68.0,11250,1,1,0,3,0,2,2,9,7,6,3,0,7,5,2001,2002,4,0,5,7,1,162.0,0,2,4,0,2,0,4,486,5,0,434,920,4,4,1,0,920,866,0,1786,1,0,2,1,3,1,0,6,0,1,2,0,2001.0,3,2,608,2,2,2,0,42,0,0,0,0,3,4,4,0,9,2008,4,1,223500
70,1,60.0,9550,1,1,0,3,0,1,2,13,7,6,3,0,7,5,1915,1970,4,0,0,11,3,0.0,1,2,2,1,1,3,0,216,5,0,540,756,4,1,1,0,961,756,0,1717,1,0,1,0,3,1,0,7,0,1,1,3,1998.0,2,3,642,2,2,2,0,35,272,0,0,0,3,4,4,0,2,2006,4,0,140000
60,1,84.0,14260,1,1,0,3,0,0,2,14,7,6,3,0,8,5,2000,2000,4,0,5,7,1,350.0,0,2,4,0,2,1,4,655,5,0,490,1145,4,4,1,0,1145,1053,0,2198,1,0,2,1,4,1,0,9,0,1,2,0,2000.0,3,3,836,2,2,2,192,84,0,0,0,0,3,4,4,0,12,2008,4,1,250000
50,1,85.0,14115,1,1,0,3,0,2,2,12,7,6,3,1,5,5,1993,1995,4,0,5,7,3,0.0,1,2,1,0,2,3,4,732,5,0,64,796,4,4,1,0,796,566,0,1362,1,0,1,1,1,1,1,5,0,0,5,0,1993.0,2,2,480,2,2,2,40,30,0,320,0,0,3,0,0,700,10,2009,4,1,143000
20,1,75.0,10084,1,1,3,3,0,2,2,0,7,6,3,4,8,5,2004,2005,4,0,5,7,2,186.0,0,2,4,3,2,1,4,1369,5,0,317,1686,4,4,1,0,1694,0,0,1694,1,0,2,0,3,1,0,7,0,1,1,0,2004.0,3,2,636,2,2,2,255,57,0,0,0,0,3,4,4,0,8,2007,4,1,307000
60,1,69.0,10382,1,1,0,3,0,1,2,23,0,6,3,0,7,6,1973,1973,4,0,4,6,2,240.0,1,2,5,0,2,0,0,859,2,32,216,1107,4,4,1,0,1107,983,0,2090,1,0,2,1,3,1,1,7,0,2,2,0,1973.0,3,2,484,2,2,2,235,204,228,0,0,0,3,4,0,350,11,2009,4,1,200000
50,4,51.0,6120,1,1,3,3,0,2,2,10,1,6,3,1,7,5,1931,1950,4,0,11,11,3,0.0,1,2,2,1,2,3,5,0,5,0,952,952,4,1,1,2,1022,752,0,1774,0,0,2,0,2,2,1,8,1,2,2,3,1931.0,2,2,468,3,2,2,90,0,205,0,0,0,3,4,4,0,4,2008,4,0,129900
190,1,50.0,7420,1,1,3,3,0,1,2,11,1,1,4,6,5,6,1939,1950,4,0,1,2,3,0.0,1,2,2,1,2,3,4,851,5,0,140,991,4,4,1,0,1077,0,0,1077,1,0,1,0,2,2,1,5,0,2,2,0,1939.0,3,1,205,1,2,2,0,4,0,0,0,0,3,4,4,0,1,2008,4,1,118000
20,1,70.0,11200,1,1,3,3,0,2,2,7,7,6,3,4,5,5,1965,1965,5,0,4,6,3,0.0,1,2,5,1,2,3,1,906,5,0,134,1040,4,4,1,0,1040,0,0,1040,1,0,1,0,3,1,1,5,0,0,5,3,1965.0,2,1,384,2,2,2,0,0,0,0,0,0,3,4,4,0,2,2008,4,1,129500
60,1,85.0,11924,1,1,0,3,0,2,2,3,7,6,3,0,9,5,2005,2006,5,0,8,11,2,286.0,3,2,4,3,2,3,4,998,5,0,177,1175,4,4,1,0,1182,1142,0,2324,1,0,3,0,4,1,3,11,0,2,1,4,2005.0,1,3,736,2,2,2,147,21,0,0,0,0,3,4,4,0,7,2006,1,3,345000
20,1,69.0,12968,1,1,2,3,0,2,2,7,7,6,3,4,5,6,1962,1962,5,0,4,12,3,0.0,1,2,5,1,2,3,0,737,5,0,175,912,4,2,1,0,912,0,0,912,1,0,1,0,2,1,1,4,0,0,5,3,1962.0,2,1,352,2,2,2,140,0,0,0,176,0,3,4,4,0,9,2008,4,1,144000
20,1,91.0,10652,1,1,0,3,0,2,2,9,7,6,3,4,7,5,2006,2007,4,0,5,7,2,306.0,0,2,4,0,2,1,5,0,5,0,1494,1494,4,4,1,0,1494,0,0,1494,0,0,2,0,3,1,0,7,0,1,1,0,2006.0,3,3,840,2,2,2,160,33,0,0,0,0,3,4,4,0,8,2007,1,3,279500
20,1,69.0,10920,1,1,0,3,0,1,2,19,7,6,3,4,6,5,1960,1960,5,0,1,2,1,212.0,1,2,5,1,2,3,2,733,5,0,520,1253,4,2,1,0,1253,0,0,1253,1,0,1,1,2,1,1,5,0,1,3,0,1960.0,3,1,352,2,2,2,0,213,176,0,0,0,3,1,4,0,5,2008,4,1,157000
45,4,51.0,6120,1,1,3,3,0,1,2,11,7,6,3,6,7,8,1929,2001,4,0,0,1,3,0.0,1,2,2,1,2,3,5,0,5,0,832,832,4,4,1,4,854,0,0,854,0,0,1,0,2,1,1,5,0,0,5,3,1991.0,2,2,576,2,2,2,48,112,0,0,0,0,3,3,4,0,7,2007,4,1,132000
20,1,69.0,11241,1,1,0,3,0,3,2,19,7,6,3,4,6,7,1970,1970,4,0,0,1,1,180.0,1,2,5,1,2,3,0,578,5,0,426,1004,4,4,1,0,1004,0,0,1004,1,0,1,0,2,1,1,5,0,1,2,0,1970.0,1,2,480,2,2,2,0,0,0,0,0,0,3,4,0,700,3,2010,4,1,149000
90,1,72.0,10791,1,1,3,3,0,2,2,7,7,6,2,4,4,5,1967,1967,4,0,1,2,3,0.0,1,2,0,4,4,4,6,0,6,0,0,0,4,2,1,0,1296,0,0,1296,0,0,2,0,2,2,1,6,0,0,5,1,1967.0,2,2,516,2,2,2,0,0,0,0,0,0,3,4,0,500,10,2006,4,1,90000
20,1,66.0,13695,1,1,3,3,0,2,2,6,4,6,3,4,5,5,2004,2004,4,0,5,7,3,0.0,1,2,4,1,2,3,4,646,5,0,468,1114,4,4,1,0,1114,0,0,1114,1,0,1,1,3,1,0,6,0,0,5,3,2004.0,2,2,576,2,2,2,0,102,0,0,0,0,3,4,4,0,6,2008,4,1,159000
20,1,70.0,7560,1,1,3,3,0,2,2,19,7,6,3,4,5,6,1958,1965,5,0,11,12,3,0.0,1,2,5,1,2,3,3,504,5,0,525,1029,4,2,1,0,1339,0,0,1339,0,0,1,0,3,1,1,6,1,0,5,0,1958.0,2,1,294,2,2,2,0,0,0,0,0,0,3,0,4,0,5,2009,5,0,139000
60,1,101.0,14215,1,1,0,3,0,1,2,3,7,6,3,0,8,5,2005,2006,4,0,5,7,1,380.0,0,2,4,3,2,1,5,0,5,0,1158,1158,4,4,1,0,1158,1218,0,2376,0,0,3,1,4,1,0,9,0,1,1,4,2005.0,3,3,853,2,2,2,240,154,0,0,0,0,3,4,4,0,11,2006,1,3,325300
45,4,57.0,7449,1,0,3,2,0,2,2,5,7,6,3,6,7,7,1930,1950,4,0,0,1,3,0.0,1,2,4,1,2,3,5,0,5,0,637,637,4,4,1,2,1108,0,0,1108,0,0,1,0,3,1,0,6,0,1,1,0,1930.0,2,1,280,2,2,1,0,0,205,0,0,0,3,3,4,0,6,2007,4,1,139400
20,1,75.0,9742,1,1,3,3,0,2,2,9,7,6,3,4,8,5,2002,2002,5,0,5,7,1,281.0,0,2,4,0,2,3,5,0,5,0,1777,1777,4,4,1,0,1795,0,0,1795,0,0,2,0,3,1,0,7,0,1,1,0,2002.0,3,2,534,2,2,2,171,159,0,0,0,0,3,4,4,0,9,2008,4,1,230000
120,4,44.0,4224,1,1,3,3,0,2,2,20,7,6,1,4,5,7,1976,1976,4,0,15,3,3,0.0,1,2,4,0,2,3,4,840,5,0,200,1040,4,2,1,0,1060,0,0,1060,1,0,1,0,3,1,1,6,0,1,2,0,1976.0,2,2,572,2,2,2,100,110,0,0,0,0,3,4,4,0,6,2007,4,1,129900
20,1,69.0,8246,1,1,0,3,0,2,2,7,7,6,3,4,5,8,1968,2001,4,0,10,12,3,0.0,1,1,5,1,2,0,1,188,0,668,204,1060,4,4,1,0,1060,0,0,1060,1,0,1,0,3,1,0,6,0,1,2,0,1968.0,2,1,270,2,2,2,406,90,0,0,0,0,3,0,4,0,5,2010,4,1,154000
20,1,110.0,14230,1,1,3,3,0,1,2,3,7,6,3,4,8,5,2007,2007,4,0,5,7,2,640.0,0,2,4,0,2,3,5,0,5,0,1566,1566,4,4,1,0,1600,0,0,1600,0,0,2,0,3,1,0,7,0,1,1,0,2007.0,3,3,890,2,2,2,0,56,0,0,0,0,3,4,4,0,7,2009,4,1,256300
20,1,60.0,7200,1,1,3,3,0,1,2,19,7,6,3,4,5,7,1951,2000,4,0,0,1,3,0.0,1,2,5,1,2,0,2,234,1,486,180,900,4,2,1,0,900,0,0,900,0,1,1,0,3,1,0,5,0,0,5,3,2005.0,2,2,576,2,2,2,222,32,0,0,0,0,3,4,4,0,5,2010,4,1,134800
20,1,98.0,11478,1,1,3,3,0,2,2,3,7,6,3,4,8,5,2007,2008,4,0,5,7,2,200.0,0,2,4,3,2,3,4,1218,5,0,486,1704,4,4,1,0,1704,0,0,1704,1,0,2,0,3,1,0,7,0,1,1,0,2008.0,3,3,772,2,2,2,0,50,0,0,0,0,3,4,4,0,5,2010,4,1,306000
20,1,47.0,16321,1,1,0,3,0,3,2,19,7,6,3,4,5,6,1957,1997,4,0,1,2,3,0.0,1,2,5,1,2,2,2,1277,5,0,207,1484,4,2,1,0,1600,0,0,1600,1,0,1,0,2,1,1,6,0,2,1,0,1957.0,3,1,319,2,2,2,288,258,0,0,0,0,3,4,4,0,12,2006,4,1,207500
